,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
50,333,1.008,0.306,0.009,0.839,0.744,31,0.32,0.84,20,8,45
51,334,1.551,0.545,0.006,0.782,0.646,23,0.5,0.83,6,6,16
52,414,0.946,0.336,0.01,0.873,0.627,37,0.143,0.68,16,4,29
53,544,0.908,0.506,0.004,0.787,0.61,52,0.6,0.8,12,8,25
54,688,0.733,0.06,0.006,0.881,0.791,63,0.447,0.85,14,13,47
55,662,0.733,0.053,0.006,0.834,0.9,55,0.477,0.8,17,8,34
56,660,1.049,0.048,0.006,0.882,0.84,56,0.622,0.87,16,13,43
57,671,0.984,0.082,0.006,0.848,0.682,62,0.449,0.86,16,9,42
58,1496,1.128,0.325,0.032,0.887,0.642,115,0.559,0.78,8,6,31
59,419,1.151,0,0,0.896,0.862,35,0.69,0.83,21,14,60
60,471,0.634,0.17,0.265,0.943,0.132,48,0.436,0.74,21,10,44
61,360,1.37,0.358,0.003,0.809,0.739,37,0.25,0.68,17,8,18
62,332,0.931,0.303,0.003,0.831,0.801,32,0.28,0.48,18,11,42
63,481,1.268,0.222,0.027,0.869,0.757,49,0.432,0.76,16,10,29
64,334,0.695,0.38,0.009,0.797,0.814,33,0.52,0.88,14,6,26
65,326,0.208,0.307,0.006,0.865,0.707,25,0.632,0.79,19,10,46
66,1189,0.142,0.338,0.023,0.758,0.781,134,0.633,0.72,10,4,27
67,1488,0.314,0.283,0.014,0.758,0.85,132,0.733,0.82,12,4,29
68,624,2.623,0.375,0.016,0.836,0.736,52,0.487,0.77,12,8,27
69,324,1.132,0.281,0.009,0.868,0.687,31,0.391,0.7,19,12,24
70,432,2.086,0.347,0.016,0.818,0.619,34,0.143,0.57,16,8,36
71,414,0.484,0.35,0.058,0.819,0.625,39,0.533,0.93,16,7,26
72,387,0.471,0.258,0.013,0.825,0.708,39,0.188,0.63,17,7,34
73,418,0.733,0.373,0.026,0.943,0.667,33,0.36,0.84,16,13,35
74,4303,0.715,0.226,0.06,0.825,0.596,297,0.511,0.78,11,9,23
75,308,1.11,0.383,0.026,0.751,0.692,31,0.12,0.6,18,8,19
76,411,1.445,0.302,0.01,0.836,0.705,34,0.292,0.46,9,7,21
77,407,1.288,0.305,0.015,0.809,0.77,34,0.25,0.64,8,9,27
78,392,1,0.372,0.018,0.789,0.774,43,0.333,0.73,9,9,26
79,1712,2.115,0.332,0.015,0.771,0.798,156,0.625,0.86,11,5,15
80,405,0.984,0.326,0.012,0.834,0.885,35,0.1,0.57,12,6,25
81,401,0,0.658,0.005,0.87,0.62,30,0.261,0.65,10,9,31
82,323,0,0.536,0,0.767,0.674,29,0.13,0.48,12,10,27
83,649,1.525,0.434,0.012,0.845,0.701,59,0.41,0.85,14,10,30
84,354,0.264,0.393,0.04,0.865,0.801,29,0.292,0.54,25,9,28
85,416,1.364,0.385,0.022,0.837,0.796,35,0.483,0.9,19,9,33
86,517,0.931,0.364,0.021,0.836,0.723,60,0.395,0.81,13,8,29
87,484,0.862,0.3,0.021,0.898,0.759,59,0.378,0.78,17,10,34
88,519,1.732,0.32,0.015,0.775,0.668,44,0.457,0.86,14,7,27
89,385,1.037,0.348,0.013,0.835,0.789,52,0.333,0.72,17,8,43
90,420,1.398,0.421,0.021,0.84,0.722,46,0.324,0.73,13,4,37
